job title,job requirements
Digital Producer,"['join', 'wa', 'brand', 'thrive', 'medium', 'company', 'perk', 'benefit', 'culture', 'passionate', 'team']"
Producer,"['zetland', 'location', 'square', 'station', 'flexibility', 'combine', 'medium', 'love', 'sport']"
Senior Audio Technician,"['time', 'position', 'team', 'management', 'award', 'pay', 'rate', 'incentive', 'discount']"
Exhibitions Coordinator,"['join', 'australia', 'museum', 'culture', 'time', 'ongoing', 'role', 'mix', 'wfh', 'feed', 'role', 'creative', 'team']"
Assistant Experiential Manager | World famous brands | Up to $99k inc,"['opportunity', 'join', 'renowned', 'brand', 'culture', 'fun', 'opportunity', 'travel']"
Writer - Publications and Submissions,"['time', 'position', 'hour', 'week', 'location', 'packaging', 'option', 'career', 'development']"
Digital Delivery Officer,"['month', 'contract', 'day', 'hour', 'standard', 'week']"
Philanthropy Manager,"['fulfil', 'role', 'team', 'company', 'strive', 'bring', 'environment']"
Performing Arts Technical Trainee,"['gain', 'hand', 'industry', 'experience', 'attain', 'production', 'service', 'team']"
Staff Writer,"['start', 'progress', 'career', 'journalism', 'respect', 'publication', 'dedicate', 'team', 'establish', 'expertise', 'market', 'journalism']"
Digital News Writer - Aviation,"['market', 'intelligence', 'aviation', 'travel', 'industry', 'sydney', 'cbd', 'office', 'day', 'week', 'day', 'volunteer', 'day']"
Videographer/Photographer,"['mix', 'passion', 'creation', 'addiction', 'create', 'amaze', 'driven', 'focus', 'team', 'art', 'equipment', 'willingness', 'invest', 'job']"
News Editor,"['organization', 'career', 'progression', 'role']"
Promotions Specialist - GOLD104.3,"['fun', 'perk', 'prize', 'ticket', 'giveaway', 'pay', 'bdays', 'opporunity', 'term', 'career', 'progression', 'office', 'base', 'richmond', 'wfh', 'option']"
Production Specialist,"['package', 'leave', 'load', 'appointment', 'type', 'time', 'hour', 'week', 'continue', 'location', 'macquarie', 'university', 'wallumattagal', 'ryde']"
Court Reporter,"['gain', 'experience', 'cover', 'court', 'crime', 'cultivate', 'network', 'contact', 'pace', 'darwin', 'newsroom']"
ClearAds Classifier - Advertising Compliance,"['medium', 'industry', 'fun', 'team', 'team', 'customer', 'variety', 'flexibility']"
"Journalist, Ararat","['join', 'medium', 'company', 'australia', 'community', 'informed', 'connect', 'break', 'news', 'team', 'environment', 'pathway', 'career']"
Venue Events Manager,"['star', 'premium', 'venue', 'partner', 'incentive', 'training']"
Commercial Content Writer - news.com.au,"['difference', 'medium', 'organisation', 'entry', 'level', 'role', 'month', 'term', 'contract', 'arrangement']"
Producer - Sky News Weather,"['identify', 'write', 'edit', 'weather', 'story', 'audience', 'opportunity', 'innovate', 'challenge', 'norm', 'pioneer', 'australia', 'medium', 'organisation']"
Coordinator Production,"['coordinate', 'deliver', 'event', 'hold', 'lead', 'support', 'production', 'team', 'day', 'day', 'operation', 'permanent', 'time', 'position', 'onsite', 'parking']"
Digital News Writer - Aviation,"['market', 'intelligence', 'aviation', 'travel', 'industry', 'sydney', 'cbd', 'office', 'day', 'week', 'day', 'volunteer', 'day']"
Visual Content Creator - Video & Photography,"['environment', 'life', 'balance', 'fun', 'team', 'love', 'collaborate', 'opportunity', 'upskill', 'travel']"
News Editor,"['australia', 'broadcaster', 'contribute', 'design', 'launch', 'news', 'service', 'community', 'radio', 'network', 'australia', 'broadcast', 'license']"
Senior Journalist - Digital Publication,"['role', 'life', 'balance', 'opportunity', 'voice', 'impact', 'journalism', 'experience', 'news', 'digital', 'publication']"
Stakeholder and Community Engagement Team Lead,"['join', 'wa', 'land', 'development', 'agency', 'deliver', '2b', 'project', 'pipeline', 'agile', 'team', 'culture', 'live', 'office', 'cbd', 'location']"
Health Programs Development Editor,"['healthtech', 'industry', 'impact', 'health', 'community', 'purpose', 'organisation', 'vibrant', 'culture', 'hybrid', 'option']"
Station Manager,"['australia', 'broadcaster', 'contribute', 'design', 'launch', 'grid', '8kin', 'community', 'radio', 'network', 'australia', 'broadcast', 'license']"
Digital Campaign Manager,"['excite', 'opportunity', 'grow', 'advertising', 'time', 'position', 'base', 'sydney', 'commit', 'team']"
Senior Lighting Technician,"['time', 'position', 'team', 'management', 'award', 'pay', 'rate', 'incentive', 'discount']"
"Research Manager, First Nations Audiences","['nation', 'people', 'community', 'lead', 'inform', 'insight', 'inform', 'nation', 'audience']"
Mandarin and Arabic News Editor,"['opportunity', 'join', 'team', 'tv', 'editor', 'locate', 'artarmon', 'transport', 'join', 'broadcaster']"
Events Assistants,"['create', 'sense', 'community', 'suburb', 'life', 'balance', 'day', 'fortnight', 'range', 'event']"
Production Manager,"['industry', 'leader', 'projection', 'experience', 'ideal', 'project', 'manager', 'director', 'av', 'technician', 'location']"
eCommerce Production Coordinator,"['discount', 'brandbank', 'brand', 'arrangement', 'time', 'opportunity', 'retailer']"
Account Manager | Agency,"['brand', 'industry', 'lead', 'account', 'stand', 'company', 'culture']"
Editor,"['brand', 'love', 'book', 'environment']"
Commercial Producer,"['join', 'team', 'people', 'quality', 'gain', 'experience', 'exposure', 'aspect', 'production', 'contribution', 'flair']"
Staff Writer,"['start', 'progress', 'career', 'journalism', 'respect', 'publication', 'dedicate', 'team', 'establish', 'expertise', 'market', 'journalism']"
Broadcaster/Reporter,"['australia', 'broadcaster', 'contribute', 'design', 'launch', 'news', 'service', 'experience', 'trainer', 'mentor', 'support', 'offer', 'require']"
DIY EDITOR,"['join', 'lead', 'company', 'australia', 'woman', 'content', 'cbd', 'location']"
